"Date","Site.Name","COUNTY","meanlat","meanlon","Year","Month","Ozone","PM2.5"
2018-01-11,"Castle Hayne","New Hanover",34.364167,-77.838611,2018,1,NA,12
2018-01-11,"Clemmons Middle","Forsyth",36.026,-80.342,2018,1,NA,59
2018-01-11,"Durham Armory","Durham",36.0329550008979,-78.904037,2018,1,NA,43.5
2018-01-11,"Frying Pan Mountain","Haywood",35.379167,-82.7925,2018,1,NA,0
2018-01-11,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2018,1,26,35
2018-01-11,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,2018,1,NA,48.5
2018-01-11,"Leggett","Edgecombe",35.988278,-77.5843,2018,1,NA,34
2018-01-11,"Linville Falls","Avery",35.972347,-81.933072,2018,1,NA,3
2018-01-11,"Mendenhall School","Guilford",36.1090060008986,-79.802314,2018,1,NA,55
2018-01-11,"Millbrook School","Wake",35.856111,-78.574167,2018,1,26,23
2018-01-11,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,2018,1,NA,27.5
2018-01-11,"West Johnston Co.","Johnston",35.59095,-78.4622,2018,1,NA,41
2018-01-12,"Bryson City","Swain",35.434767,-83.442133,2018,1,NA,10
2018-01-12,"Castle Hayne","New Hanover",34.364167,-77.838611,2018,1,NA,0
2018-01-12,"Clemmons Middle","Forsyth",36.026,-80.342,2018,1,NA,23
2018-01-12,"Durham Armory","Durham",36.0329550008979,-78.904037,2018,1,NA,5
2018-01-12,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2018,1,33,20
2018-01-12,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,2018,1,NA,23
2018-01-12,"Leggett","Edgecombe",35.988278,-77.5843,2018,1,NA,8
2018-01-12,"Mendenhall School","Guilford",36.1090060008986,-79.802314,2018,1,NA,15
2018-01-12,"Millbrook School","Wake",35.856111,-78.574167,2018,1,35,0
2018-01-12,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,2018,1,NA,12
2018-01-12,"West Johnston Co.","Johnston",35.59095,-78.4622,2018,1,NA,13
2018-01-13,"Bryson City","Swain",35.434767,-83.442133,2018,1,NA,18
2018-01-13,"Castle Hayne","New Hanover",34.364167,-77.838611,2018,1,NA,10
2018-01-13,"Clemmons Middle","Forsyth",36.026,-80.342,2018,1,NA,10
2018-01-13,"Durham Armory","Durham",36.0329550008979,-78.904037,2018,1,NA,20
2018-01-13,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2018,1,32,15
2018-01-13,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,2018,1,NA,10
2018-01-13,"Leggett","Edgecombe",35.988278,-77.5843,2018,1,NA,0
2018-01-13,"Mendenhall School","Guilford",36.1090060008986,-79.802314,2018,1,NA,12
2018-01-13,"Millbrook School","Wake",35.856111,-78.574167,2018,1,32,24
2018-01-13,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,2018,1,NA,3
2018-01-13,"West Johnston Co.","Johnston",35.59095,-78.4622,2018,1,NA,8
2018-01-14,"Bryson City","Swain",35.434767,-83.442133,2018,1,NA,28
2018-01-14,"Castle Hayne","New Hanover",34.364167,-77.838611,2018,1,NA,10
2018-01-14,"Clemmons Middle","Forsyth",36.026,-80.342,2018,1,NA,25
2018-01-14,"Durham Armory","Durham",36.0329550008979,-78.904037,2018,1,NA,20
2018-01-14,"Frying Pan Mountain","Haywood",35.379167,-82.7925,2018,1,NA,6
2018-01-14,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2018,1,31,26.5
2018-01-14,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,2018,1,NA,20.3333333333333
2018-01-14,"Leggett","Edgecombe",35.988278,-77.5843,2018,1,NA,10
2018-01-14,"Linville Falls","Avery",35.972347,-81.933072,2018,1,NA,10
2018-01-14,"Mendenhall School","Guilford",36.1090060008986,-79.802314,2018,1,NA,22
2018-01-14,"Millbrook School","Wake",35.856111,-78.574167,2018,1,NA,19.5
2018-01-14,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,2018,1,NA,15.5
2018-01-14,"West Johnston Co.","Johnston",35.59095,-78.4622,2018,1,NA,15
2018-01-15,"Bryson City","Swain",35.434767,-83.442133,2018,1,NA,43
2018-01-15,"Castle Hayne","New Hanover",34.364167,-77.838611,2018,1,NA,21
2018-01-15,"Clemmons Middle","Forsyth",36.026,-80.342,2018,1,NA,30
2018-01-15,"Durham Armory","Durham",36.0329550008979,-78.904037,2018,1,NA,44
2018-01-15,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2018,1,27,43
2018-01-15,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,2018,1,NA,30
2018-01-15,"Leggett","Edgecombe",35.988278,-77.5843,2018,1,NA,24
2018-01-15,"Mendenhall School","Guilford",36.1090060008986,-79.802314,2018,1,NA,40
2018-01-15,"Millbrook School","Wake",35.856111,-78.574167,2018,1,NA,35
2018-01-15,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,2018,1,NA,30
2018-01-15,"West Johnston Co.","Johnston",35.59095,-78.4622,2018,1,NA,35
2018-01-16,"Bryson City","Swain",35.434767,-83.442133,2018,1,NA,52
2018-01-16,"Castle Hayne","New Hanover",34.364167,-77.838611,2018,1,NA,20
2018-01-16,"Clemmons Middle","Forsyth",36.026,-80.342,2018,1,NA,69
2018-01-16,"Durham Armory","Durham",36.0329550008979,-78.904037,2018,1,NA,60
2018-01-16,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2018,1,28,61
2018-01-16,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,2018,1,NA,68
2018-01-16,"Leggett","Edgecombe",35.988278,-77.5843,2018,1,NA,29
2018-01-16,"Mendenhall School","Guilford",36.1090060008986,-79.802314,2018,1,NA,70
2018-01-16,"Millbrook School","Wake",35.856111,-78.574167,2018,1,24,58
2018-01-16,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,2018,1,NA,37
2018-01-16,"West Johnston Co.","Johnston",35.59095,-78.4622,2018,1,NA,53
2018-01-17,"Bryson City","Swain",35.434767,-83.442133,2018,1,NA,37
2018-01-17,"Castle Hayne","New Hanover",34.364167,-77.838611,2018,1,NA,24
2018-01-17,"Clemmons Middle","Forsyth",36.026,-80.342,2018,1,NA,55
2018-01-17,"Durham Armory","Durham",36.0329550008979,-78.904037,2018,1,NA,54.5
2018-01-17,"Frying Pan Mountain","Haywood",35.379167,-82.7925,2018,1,NA,15
2018-01-17,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2018,1,28,40.5
2018-01-17,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,2018,1,NA,47.5
2018-01-17,"Leggett","Edgecombe",35.988278,-77.5843,2018,1,NA,38
2018-01-17,"Linville Falls","Avery",35.972347,-81.933072,2018,1,NA,19
2018-01-17,"Mendenhall School","Guilford",36.1090060008986,-79.802314,2018,1,NA,51
2018-01-17,"Millbrook School","Wake",35.856111,-78.574167,2018,1,29,56
2018-01-17,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,2018,1,NA,48.5
2018-01-17,"West Johnston Co.","Johnston",35.59095,-78.4622,2018,1,NA,66
2018-01-18,"Bryson City","Swain",35.434767,-83.442133,2018,1,NA,48
2018-01-18,"Castle Hayne","New Hanover",34.364167,-77.838611,2018,1,NA,30
2018-01-18,"Clemmons Middle","Forsyth",36.026,-80.342,2018,1,NA,40
2018-01-18,"Durham Armory","Durham",36.0329550008979,-78.904037,2018,1,NA,45
2018-01-18,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2018,1,31,40
2018-01-18,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,2018,1,NA,35
2018-01-18,"Leggett","Edgecombe",35.988278,-77.5843,2018,1,NA,31
2018-01-18,"Mendenhall School","Guilford",36.1090060008986,-79.802314,2018,1,NA,34
2018-01-18,"Millbrook School","Wake",35.856111,-78.574167,2018,1,35,54
2018-01-18,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,2018,1,NA,38
2018-01-18,"West Johnston Co.","Johnston",35.59095,-78.4622,2018,1,NA,50
2018-01-19,"Bryson City","Swain",35.434767,-83.442133,2018,1,NA,52
2018-01-19,"Clemmons Middle","Forsyth",36.026,-80.342,2018,1,NA,54
2018-01-19,"Durham Armory","Durham",36.0329550008979,-78.904037,2018,1,NA,57
2018-01-19,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2018,1,22,49
2018-01-19,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,2018,1,NA,43
2018-01-19,"Leggett","Edgecombe",35.988278,-77.5843,2018,1,NA,25
2018-01-19,"Mendenhall School","Guilford",36.1090060008986,-79.802314,2018,1,NA,37
2018-01-19,"Millbrook School","Wake",35.856111,-78.574167,2018,1,32,55
2018-01-19,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,2018,1,NA,34
2018-01-19,"West Johnston Co.","Johnston",35.59095,-78.4622,2018,1,NA,42
2018-01-20,"Bryson City","Swain",35.434767,-83.442133,2018,1,NA,51
2018-01-20,"Castle Hayne","New Hanover",34.364167,-77.838611,2018,1,NA,21
2018-01-20,"Clemmons Middle","Forsyth",36.026,-80.342,2018,1,NA,63
2018-01-20,"Durham Armory","Durham",36.0329550008979,-78.904037,2018,1,NA,45
2018-01-20,"Frying Pan Mountain","Haywood",35.379167,-82.7925,2018,1,NA,6
2018-01-20,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2018,1,32,43
2018-01-20,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,2018,1,NA,36
2018-01-20,"Leggett","Edgecombe",35.988278,-77.5843,2018,1,NA,28
2018-01-20,"Linville Falls","Avery",35.972347,-81.933072,2018,1,NA,8
2018-01-20,"Mendenhall School","Guilford",36.1090060008986,-79.802314,2018,1,NA,38
2018-01-20,"Millbrook School","Wake",35.856111,-78.574167,2018,1,35,50
2018-01-20,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,2018,1,NA,41
2018-01-20,"West Johnston Co.","Johnston",35.59095,-78.4622,2018,1,NA,40
2018-01-21,"Bryson City","Swain",35.434767,-83.442133,2018,1,NA,50
2018-01-21,"Clemmons Middle","Forsyth",36.026,-80.342,2018,1,NA,48
2018-01-21,"Durham Armory","Durham",36.0329550008979,-78.904037,2018,1,NA,44
2018-01-21,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2018,1,36,53
2018-01-21,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,2018,1,NA,49
2018-01-21,"Leggett","Edgecombe",35.988278,-77.5843,2018,1,NA,22
2018-01-21,"Mendenhall School","Guilford",36.1090060008986,-79.802314,2018,1,NA,34
2018-01-21,"Millbrook School","Wake",35.856111,-78.574167,2018,1,34,51
2018-01-21,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,2018,1,NA,35
2018-01-21,"West Johnston Co.","Johnston",35.59095,-78.4622,2018,1,NA,43
2018-01-22,"Bryson City","Swain",35.434767,-83.442133,2018,1,NA,48
